CD8T;CD4T;NK;Bcell;Mono;Gran
200715340075_R03C01;0.0556052707882959;0.10389516395572;0.016661164847987;0.0652094118404491;0.0274072290286842;0.742711227476936
200715340075_R04C01;0.120266046189497;0.18954491530184;4.42673042328792e-05;0.0850360125332024;0.0514776383649414;0.571059032202146
200715340075_R05C01;0.0452516185355143;0.109412210680288;0.077679131374908;0.0643625973356353;0.0869582666954619;0.639125609310871
200715340075_R06C01;0.0410553835942952;0.112536409091527;0.110677832410906;0.0666177878604653;0.103043913996558;0.594786197344764
200715340075_R07C01;0.056969263838454;0.150385708927595;0.00185111591662749;0.0575798513709298;0.0451350613126348;0.700924591534675
200715340075_R08C01;0.0594407163648912;0.20741580710818;0.00445614898812962;0.0691169763614629;0.0581632296503622;0.608758691036499
200705360079_R01C01;0.104628394379857;0.142708076960399;0.0475325961665223;0.0642793387696988;0.0763166907283059;0.56956260433444
200705360079_R02C01;0.065676664324205;0.0481010043273241;0.0414034845055659;0.0418131540776275;0.0465389955374311;0.771347101387751
200705360079_R03C01;0.0586898257965908;0.175492348245286;0.0168339231855601;0.0703581500124083;0.0643949218236389;0.632362625205003
200705360079_R04C01;0.0286480446425525;0.107035073403332;0.011376665647841;0.0446947762438518;0.051176420725386;0.766642468767522
200705360079_R05C01;0.152413957412572;0.229884043330075;0.00419255768462925;0.10204142324421;0.0330922623904341;0.499851780022589
200705360079_R06C01;0.0641772898292782;0.100002253040639;0.013725313658217;0.0547476651312374;0.0452408763183402;0.741830447071317
200705360079_R07C01;0.102848792931851;0.173312100999012;0;0.106392985451184;0.0743217721593805;0.568679131014889
200705360079_R08C01;0.0468311032662994;0.0848684643576484;0.00481428438750347;0.0529740904018868;0.063424038108547;0.757408146586315
200705360018_R01C01;0.0277302532649119;0.140516938914983;0.0300327939564826;0.0539292191426193;0.0509216374372406;0.706863449756487
200705360018_R02C01;0.00529648840453905;0.0912914651106949;0.02623534953695;0.0443566946649842;0.0485041712981926;0.790938227348969
200705360018_R03C01;0.0744736488100097;0.140209670270621;0.0411111112404765;0.071856525676289;0.0892646609867886;0.60330532209896
200705360018_R04C01;0.00867619212796454;0.0403795897260777;0.0445311504707421;0.036392990300163;0.0404872878776757;0.845243177424873
200705360018_R05C01;0.15714704840286;0.270822438892123;0.0165820324107531;0.118839543141229;0.0529514421790436;0.394712221254082
200705360018_R06C01;0.12276236827032;0.159726402170722;0.021868799231396;0.0901844027362756;0.0374051665986446;0.585322212778154
200705360018_R07C01;0.19089941547898;0.184730204137279;0.0028409628889289;0.0705102371450446;0.0639249982444605;0.51499632142394
200705360018_R08C01;0.0731903718005926;0.0249190818998855;0;0.026591330377362;0.0428394714788247;0.848375026913142
200705940085_R01C01;0.141652803154647;0.221821609814777;0.00946347062455274;0.0938439593326277;0.0479949586232872;0.50182153742744
200705940085_R02C01;0.209511654774774;0.350649653251174;0.0386933313190225;0.12157810024012;0.038862590598041;0.252199899538025
200705940085_R03C01;0.0193914023252198;0.114376045080675;0.0763831144484322;0.0392742847510563;0.0954372491946152;0.681778846963389
200705940085_R04C01;0.0173916602033906;0.147846124866477;0.0595045667336096;0.0292390253336914;0.154060604292309;0.612409246864356
200705940085_R05C01;0.0130035124443825;0.0686073525923223;0.0461034046168943;0.0305972233950364;0.0466483999445582;0.812949980775835
200705940085_R06C01;0.0514648172895449;0.176067537876767;0.0506082934448702;0.0503607059341271;0.065743292954439;0.63589892881193
200705940085_R07C01;0.0691993523681149;0.06723889942184;0.0727297595933447;0.0380800571177567;0.0284844876054204;0.741020834090556
200705940085_R08C01;0.123298612579956;0.0931203993608972;0.0602842169467683;0.0580357559914616;0.0452951391212508;0.643202737790164
200705360087_R01C01;0.0444012301492149;0.112180759868903;0.0784412943179795;0.0743427295018563;0.0396272365185622;0.662551499286433
200705360087_R02C01;0.102730194242537;0.216942267104965;0.0769285703422923;0.0989926101653281;0.0598438013891174;0.464406595772623
200705360087_R03C01;0.0562233746739282;0.0990566395656887;0.0171964103767835;0.0368108899695784;0.0308689630508095;0.772913700740434
200705360087_R04C01;0.0756905714347121;0.199180774169998;0.0407627804705972;0.0348758858696123;0.0441990577137412;0.611384691543218
200705360087_R05C01;0.031118474826822;0.0435278574691358;0.0317508726243633;0.0445367401384087;0.044770547585911;0.815196205416525
200705360087_R06C01;0.0898184250743872;0.161487421841378;0.0359823835404897;0.109646938722228;0.0718468839833147;0.564596332328348
200705360087_R07C01;0.0175314202900362;0.0641666597901917;0.047419881332239;0.0454646817027254;0.107256081560016;0.741012604875235
200705360087_R08C01;0.038681134983672;0.11549782812509;0.0689682547855736;0.0562248544639996;0.101637172379773;0.644481370680431
200705940096_R01C01;0.000891948354788385;0.035904450546366;0.0332628499999811;0.0268572370387735;0.038232321502269;0.871382353290882
200705940096_R02C01;0.0179199122548208;0.097969789411001;0.0538103969907487;0.0490199266596672;0.0880935171606226;0.702339863938556
200705940096_R03C01;0.0770695184804805;0.0658201095389175;0.0666031416863498;0.0839904491591061;0.0804131272716506;0.669049002649253
200705940096_R04C01;0.0585663633283692;0.108123107512254;0.18378246037165;0.0819681558391016;0.0874732800140935;0.516609552094952
200705940096_R05C01;0.0565879951588168;0.125203020467589;0.0880823251705899;0.0593377704791794;0.0497121568480167;0.64772998826651
200705940096_R06C01;0.114995642970892;0.228627856979292;0.0159749478683635;0.0929586008391802;0.0779242106075784;0.50149700940573
200705940096_R07C01;0.0789011101364718;0.0904069225071477;0.00408276892309439;0.0646819299363836;0.0642696580327566;0.741215192446497
200705940096_R08C01;0.0630060461321152;0.130078210604768;0;0.0409740327629197;0.070021035283263;0.716398086964459
200705860068_R01C01;0.0320434052389784;0.0569844878423207;0.031553521500546;0.04028591124669;0.0526170236652281;0.790367256078078
200705860068_R02C01;0.0496294491851151;0.16905890433655;0.0287523956012947;0.0695427176212356;0.0789406873921002;0.61965942163238
200705860068_R03C01;0.0479928565424145;0.199592368827647;0.127127463363688;0.0882620801845686;0.0958246319413524;0.467995218193634
200705860068_R04C01;0.0959882468145341;0.328901328990905;0.113038634707981;0.125631062665156;0.103422011858947;0.275812554740725
200705860068_R05C01;0.0433425821699565;0.0570704552348669;0.0206350639678673;0.0336341791676955;0.0272230329196651;0.83833450303797
200705860068_R06C01;0.081728559688373;0.188830048133608;0.0306639783847355;0.0643309698010105;0.0411694234847712;0.629277117141219
