,SampleID,mAge_Hovath,mAge_Hannum,PhenoAge
71,200705940096_R07C01,44.1308417941944,48.7020975534102,25.5498584941335
72,200705940096_R08C01,42.8465310440326,49.0307243352191,28.9562666052639
73,200705860068_R01C01,48.5394203112133,60.1670117188396,37.9896950859531
74,200705860068_R02C01,45.4592397207335,51.5498124374115,29.3568563154764
75,200705860068_R03C01,59.9457251028595,62.7376981609794,50.5941549503434
76,200705860068_R04C01,58.9275137624552,57.9675171283188,34.6533040900963
77,200705860068_R05C01,55.3898011802072,63.479096246054,47.5742422210101
78,200705860068_R06C01,54.8964686465543,58.1375867924513,40.6348912829479
79,200705860068_R07C01,46.4362263781667,54.8408997708873,32.564283978886
80,200705860068_R08C01,47.334689697143,57.1493455111099,23.0907412974924
81,200705940005_R01C01,39.3384098574789,44.1750778051959,25.7297735169705
82,200705940005_R02C01,35.6420928002169,41.1963574754101,17.966251345076
83,200705940005_R03C01,49.6572966671689,51.5895929027023,28.098079805403
84,200705940005_R04C01,45.3262024555005,50.8707833121675,24.5648241430649
85,200705940005_R05C01,62.0318592655785,66.4712200134203,54.1329691624545
86,200705940005_R06C01,56.2678444788745,62.7016588848741,48.1410552179083
87,200705940005_R07C01,59.3135335714941,72.7159905138209,45.3136753852635
88,200705940005_R08C01,61.0805428429747,68.8129800697454,43.2401193432419
89,200705860062_R01C01,68.3590097991403,69.3822248917055,52.088933262116
90,200705860062_R02C01,64.5113861098426,70.719720607921,59.6713964223086
91,200705860062_R03C01,65.4028881108252,70.2806168150212,50.45311590823
92,200705860062_R04C01,65.0548525809534,70.0098315629515,51.5328952971298
93,200705860062_R05C01,45.9292706588502,43.7979373962038,18.6460469224145
94,200705860062_R06C01,41.2747859640242,47.4693239424852,21.3049423644281
95,200705860062_R07C01,32.9035386905528,47.8742057333596,18.2080855401822
96,200705860062_R08C01,36.8986120335751,43.9607559928893,25.4222154318362
97,200720060045_R01C01,54.1284328742911,63.6982832847619,42.5525898445725
98,200720060045_R02C01,56.4023625813566,57.9070992629443,36.2098129767618
99,200720060045_R03C01,54.1538855573708,63.300171290396,49.4890437378361
100,200720060045_R04C01,60.4126170044151,64.2101079248574,40.6628257452486
101,200720060045_R05C01,48.1735915833929,51.2614944694458,37.5989898353374
102,200720060045_R06C01,47.9413464034882,54.3026562068619,36.4766365507155
103,200720060045_R07C01,46.8664792695224,55.7963478969191,31.2317052466862
104,200720060045_R08C01,48.0730503462161,52.334403931186,27.9699822449929
105,200720060022_R01C01,42.780673588932,47.3795283555813,21.5550663461632
106,200720060022_R02C01,40.2765630669924,42.9630977542516,23.9764908486597
107,200720060022_R03C01,65.472777054525,64.2597304507744,58.6601349335889
108,200720060022_R04C01,64.2397136241239,65.4739644622226,59.9326354755537
109,200720060022_R05C01,58.5657644533978,67.5722618929159,44.8198799305944
