CD8T,CD4T,NK,Bcell,Mono,Gran
202212330104_R07C01,0.143737902796655,0.148440502176806,0.0367867344434884,0.11239013086962,0.0821719712029432,0.515476186503165
202212330104_R08C01,0.105483426225308,0.0988708269861283,0.0148684181629959,0.0933546369441402,0.0810913938208161,0.629571471615611
202212330114_R01C01,0.110870008691744,0.132068338462687,0.0346637483047252,0.0746133001041781,0.0955461145334205,0.579216473158362
202212330114_R02C01,0.0605923224334447,0.0980367693237062,0.0143477027513143,0.0853909441462919,0.0881384288245768,0.681353707199535
202212330114_R03C01,0.115987239621514,0.16840737714417,0.0397004609710966,0.077409101701859,0.0828391573151289,0.541173182221411
202212330114_R04C01,0.056632871674863,0.136141812508675,0.0204368363624349,0.0813358382572268,0.0417288361882334,0.689278307934008
202212330114_R05C01,0.0675142607744294,0.0586336505015729,0,0.0644244793417891,0.0659546610229019,0.765277018958871
202212330114_R06C01,0.142316929258454,0.12504546700602,0.0604878908558853,0.088298953414909,0.0660086046217176,0.547334749666003
202212330114_R07C01,0.0997413881636786,0.0831723571720532,0.0272820319558289,0.0758696393854588,0.084086289668525,0.670749597650071
202212330114_R08C01,0.0922980221333413,0.131324222392697,0,0.090597367557282,0.0838406616381386,0.633197129588226
202212330125_R01C01,0.0927265841389491,0.206837847461994,1.73472347597681e-18,0.111816071249184,0.0652815721024879,0.554719707176372
202212330125_R02C01,0.0903653463944317,0.144266232455177,0.0306632814437888,0.108762476644641,0.0449285323636739,0.612426239247353
202212330125_R03C01,0.147134564499599,0.231135114401669,0,0.135613561215519,0.046709707727585,0.4708054127921
202212330125_R04C01,0.11399100219766,0.23866564856606,0.0154847529662376,0.128981095604769,0.0567699671703044,0.478061670994414
202212330125_R05C01,0.137804660837438,0.190257770080232,0.0573518743914406,0.110155726189165,0.0654156053312305,0.471210558075708
202212330125_R06C01,0.116426908495074,0.109508198550271,0.0333800935679047,0.044883321788977,0.0952515797542122,0.618785799694996
202212330125_R07C01,0.047099000288484,0.0751194376607339,0.0455789691775977,0.0599216595722931,0.0723889407014122,0.727754348779587
202212330125_R08C01,0.0975771920871719,0.121292655327511,0.0306270102917053,0.0720581026763159,0.0375196583576768,0.67299187127437
202212330128_R01C01,0.175052046210977,0.224741328601443,0.0229956557786932,0.111503346143936,0.0616391356551901,0.423485939183853
202212330128_R02C01,0.0754900578605824,0.172761530173267,0.108644625690162,0.0572135492256544,0.0322874994514412,0.577933638869285
202212330128_R03C01,0.154059962680063,0.210008979261655,0,0.101904228310462,0.040603075423649,0.52805924524899
202212330128_R04C01,0.108028683361122,0.131631051677869,0,0.0955701939471482,0.0735660506562269,0.61079657000892
202212330128_R05C01,0.0955700361564652,0.164550208850947,0.0180766461530709,0.0704150035107048,0.0822605419477083,0.589506731099656
202212330128_R06C01,0.036694402690169,0.0661723668196151,0.0438931046577495,0.0787634320729075,0.154627720420979,0.638940758691029
202212330128_R07C01,0.0865056688894931,0.124479413076648,0.0170394637236997,0.0818017452288251,0.0566112481145418,0.657875010179759
202212330128_R08C01,0.108099074681285,0.103827296838961,0.0181560975263409,0.0810195546956474,0.0825580787995764,0.630071774289466
202212330136_R01C01,0.0859460293843809,0.136100618281459,0.0324802805764356,0.0744871114555379,0.081571804262853,0.616981890497671
202212330136_R02C01,0.0881222866596541,0.0933321312785013,0,0.0846451867817378,0.0686600362768489,0.690522786653941
202212330136_R03C01,0.111882998819634,0.161501820987105,0.00365715584679355,0.0876705197280914,0.0644692053085546,0.601540400347972
202212330136_R04C01,0.160192814575669,0.200591531358153,0.0240433944821726,0.0750337975722371,0.0505617516993303,0.505559865218621
